stem,non_J_elements_and_relations_source_transcription,contains_source_question_mark,status,source,source_url,transcription_note
134,β3,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
141,α1 β3,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
152,β14,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
159,α1 β14,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
162,β12 β2,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
169,α1 β12 β2,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
172,β1 β3,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
179,α1 β1 β3,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
182,β4,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
189,α1 β4,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
190,β15,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
200,β13 β2,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
205,2β15,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
206,β5/4,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
207,α1 β13 β2,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
210,β12 β3,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
213,α1 β5/4,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
214,β5/3,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
217,α1 β12 β3,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
220,β1 β4 = γ1,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
221,α1 β5/3,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
222,β5/2,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
227,α1 β1 β4,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
228,β16,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
230,β5,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
237,2β5/2 ; α1 β5 = 5(2β5/2 ),no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
238,β14 β2,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
243,2β16,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
245,α1 β14 β2,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
248,β13 β3,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
255,α1 β13 β3,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
258,β12 β4,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
265,α1 β12 β4,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
266,β17,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
268,β2 β4,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
278,β6,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
281,2β17,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
285,α1 β6,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
286,β14 β3,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
293,α1 β14 β3,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
296,β13 β4,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
303,α1 β13 β4,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
304,β18,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
306,β1 β2 β4,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
313,α1 β1 β2 β4 ; ed),no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
316,β1 β6,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
319,2β18,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
326,β7,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
331,2β1 β6,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
333,α1 β7,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
334,β14 β4,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
341,α1 β14 β4,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
342,β19,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
344,β12 β2 β4,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
351,α1 β12 β2 β4,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
354,β12 β6,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
357,2β19,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
364,β1 β7,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
369,2β12 β6,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
374,β8,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
379,2β1 β7,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
380,β110,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
381,α1 β8,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
382,β13 β2 β4,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
389,α1 β13 β2 β4,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
392,β13 β6,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
402,β12 β7,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
403,3β110,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
404,"β5/5 β5/4 = ⟨α1 β14 , β1 , β5/4 ⟩ = x404",no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
407,2β13 β6,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
411,α1 x404 = β5/4 2β15,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
412,β1 β8 ; [detached superscript fragment: 2; inspect source PDF] ; β1 β8 + β5/4 = x412,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
417,2β12 β7,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
418,β111,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
419,α1 β1 β8,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
420,β14 β2 β4,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
422,β9,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
427,2x412 ; α1 β14 β2 β4,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
430,β14 β6,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
437,2β9 ; γ2,no,classical published computation; source marks unresolved/uncertain entries where ? occurs,"Ravenel 2026, Table A3.3 (5-primary stable homotopy excluding im J)",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,Subscripts/superscripts can flatten in plain text (for example beta_1^2); use the source PDF for typography.
