name,area,statement,status_2026,credibility_or_evidence,source,source_url
Redshift conjecture,algebraic K-theory/chromatic height,"Algebraic K-theory of a suitably height-n ring spectrum exhibits height n+1 phenomena, together with corresponding descent properties.",major upper-bound and many positive cases proved; full lower-bound/descent package open,"Hahn-Wilson, Clausen-Mathew-Naumann-Noel, and subsequent work prove broad forms and bounds.",Ausoni-Rognes and recent redshift theorems,https://arxiv.org/abs/2608.02180
Moore conjecture on homotopy exponents,unstable torsion,A finite simply connected CW complex has a finite p-primary homotopy exponent iff its rational homotopy is finite-dimensional (rationally elliptic).,open in general; many elliptic families and special classes proved,Includes odd-sphere exponent theorems as central evidence.,J. C. Moore; Selick; modern exponent literature,https://doi.org/10.1017/S0305004100000423
Unique smooth sphere conjecture,homotopy spheres,"Among n>4, the only dimensions with a unique smooth structure on S^n are 5,6,12,56,61.",open; verified through the current low-stem range,All computed Kervaire-Milnor groups support the list.,"Isaksen-Wang-Xu, Conjecture 2.2",https://doi.org/10.1007/s10240-023-00139-1
Very exotic sphere conjecture,homotopy spheres/coker J,"Very exotic spheres exist in every dimension >4 except 5,6,11,12,27,43,56,61.",open; new 192-periodic constructions prove infinite congruence classes,Stable coker-J detections and recent eta-torsion families.,Bobkova-Quigley and related geometric applications,https://arxiv.org/abs/2410.21181
Smooth 4-dimensional Poincare conjecture,smooth topology,Every smooth homotopy 4-sphere is diffeomorphic to S^4.,open,Separate from stable-stem methods and high-dimensional surgery.,classical smooth 4-manifold problem,
Hopkins-Mahowald height-two family predictions,2-primary periodic families,Predicts specific 192-periodic height-two families and orders in congruence classes modulo 192.,many predictions confirmed; catalog not known to be exhaustive,"Carrick-Davies confirm a large collection, including tmf-invisible families.",Hopkins-Mahowald charts; Carrick-Davies,https://arxiv.org/abs/2506.20507
Singer algebraic transfer conjecture,Adams E2 / spherical classes,Singer conjectured that the mod-2 algebraic transfer is injective (monic) in every rank and degree.,original global conjecture is challenged/refuted by current preprints claiming counterexamples in ranks 5 and 6; low-rank and degreewise injectivity results remain valid,The counterexample claims are recent preprints and should be independently audited; the unqualified global conjecture should no longer be presented as a credible open prediction.,Singer; Sum arXiv:2408.06669; Phuc arXiv:2509.09455v11; rank-4 positive results,https://arxiv.org/abs/2509.09455
Asymptotic stable-stem growth sharpness scenario,global growth,A strong form of telescope failure would make the exp(Theta((log n)^3)) upper-scale for cumulative Adams data essentially sharp for stable stems.,"conditional prediction, not a standard named conjecture",Burklund-Senger upper bounds and chromatic heuristics.,Burklund-Senger,https://arxiv.org/abs/2203.00670
Telescope conjecture,chromatic localization,T(n)-localization and K(n)-localization agree on spectra of chromatic height n.,historical conjecture; preprint theorem gives counterexamples at every prime and every height >=2; true at heights 0 and 1,No longer listed as a credible open conjecture at height >=2.,Burklund-Hahn-Levy-Schlank,https://arxiv.org/abs/2310.17459
Kervaire invariant one in dimensions beyond 126,framed manifolds,Historical prediction that further theta_j might exist.,refuted for j>=7 by Hill-Hopkins-Ravenel; theta_6 existence is a current preprint theorem,"Retained only as historical status, not a credible conjecture.",HHR; Lin-Wang-Xu,https://arxiv.org/abs/2412.10879
Mahowald uncertainty principle,chromatic heuristics,"Heuristic tradeoff: classes easy to detect chromatically tend to be hard to construct geometrically, and vice versa.","heuristic, not a formal conjecture","Useful organizing principle, but not a precise falsifiable statement.",Mahowald/Ravenel expository tradition,https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
Odd-primary spherical-class conjectures,Hurewicz image,"At an odd prime, positive-dimensional spherical classes in the homology of Q_0S^0 should be restricted to the corresponding low-filtration Hopf/J and exceptional chromatic detections, with no large unexplained families.",no single universally accepted formulation; several precise variants and partial vanishing theorems,"Odd-primary Dyer-Lashof structure and Adams-filtration constraints parallel the 2-primary Curtis philosophy, but the correct final formulation is less settled.","Eccles, Wellington, Zare, and odd-primary spherical-class literature",https://arxiv.org/abs/1609.03143
Smith-Toda complex existence pattern,finite chromatic complexes,"For a prime p and height n, one seeks finite type-n complexes V(n) with BP-homology BP_*/(p,v_1,...,v_n), subject to prime-size constraints; broad existence/nonexistence patterns are expected but not known uniformly.",case-by-case; V(3) does not exist at p=5 and V(2) is not a ring spectrum there; higher cases remain incomplete,The p=5 beta_1-power computation gives sharp nonexistence information; periodicity theory supplies existence after weakening the precise Smith-Toda form.,"Ravenel 2026, Theorem 7.6.1; Smith-Toda and Hopkins-Smith literature",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
Sharp unstable homotopy growth conjectures,unstable asymptotics,"For a fixed sphere, the p-primary ranks and total torsion should exhibit explicit chromatic growth laws substantially sharper than the current exp(O((log n)^3)) upper bounds.","open; several hyperbolicity and lower-bound results, but no sharp general asymptotic","Stable chromatic families and rational/elliptic-hyperbolic dichotomies suggest structured growth, while current finite tables are too short to identify a law.",Burklund-Senger; Boyde; rational homotopy hyperbolicity literature,https://arxiv.org/abs/2203.00670
